"tournament","city","country","date","tournament_type","discipline","round","winner","nb_sets","retired","game_1_score","game_2_score","game_3_score","team_one_players","team_two_players","team_one_nationalities","team_two_nationalities","team_one_total_points","team_two_total_points","team_one_most_consecutive_points","team_two_most_consecutive_points","team_one_game_points","team_two_game_points","team_one_most_consecutive_points_game_1","team_two_most_consecutive_points_game_1","team_one_game_points_game_1","team_two_game_points_game_1","game_1_scores","team_one_most_consecutive_points_game_2","team_two_most_consecutive_points_game_2","team_one_game_points_game_2","team_two_game_points_game_2","game_2_scores","team_one_most_consecutive_points_game_3","team_two_most_consecutive_points_game_3","team_one_game_points_game_3","team_two_game_points_game_3","game_3_scores","men_team_one_lower","men_team_two_lower","player_one_ranking"
"YONEX All England Open Badminton Championships 2019","Birmingham","England",2019-03-07,"HSBC BWF World Tour Super 1000","MS","Round of 16",1,2,"False","21-12","21-17","","Ka Long Angus Ng","B. Sai Praneeth","HKG","IND",42,29,8,5,3,0,8,5,1,0,"['0-0', '0-1', '0-2', '0-3', '1-3', '2-3', '3-3', '4-3', '4-4', '4-5', '4-6', '4-7', '4-8', '5-8', '5-9', '6-9', '7-9', '8-9', '8-10', '9-10', '10-10', '11-10', '12-10', '13-10', '14-10', '15-10', '16-10', '16-11', '16-12', '17-12', '18-12', '19-12', '20-12', '21-12']",4,2,2,0,"['0-0', '0-1', '1-1', '1-2', '2-2', '2-3', '3-3', '4-3', '5-3', '6-3', '6-4', '7-4', '7-5', '8-5', '9-5', '9-6', '10-6', '11-6', '11-7', '11-8', '12-8', '12-9', '12-10', '13-10', '13-11', '14-11', '15-11', '15-12', '15-13', '16-13', '16-14', '17-14', '18-14', '19-14', '19-15', '19-16', '20-16', '20-17', '21-17']",NA,NA,NA,NA,"[]","ka long angus ng","b. sai praneeth",15
"YONEX All England Open Badminton Championships 2019","Birmingham","England",2019-03-07,"HSBC BWF World Tour Super 1000","MS","Round of 16",1,2,"False","21-19","21-13","","Kanta Tsuneyama","Kenta Nishimoto","JPN","JPN",42,32,6,3,3,0,4,3,2,0,"['0-0', '0-1', '1-1', '1-2', '1-3', '1-4', '2-4', '3-4', '3-5', '4-5', '5-5', '6-5', '6-6', '6-7', '6-8', '7-8', '7-9', '8-9', '8-10', '9-10', '10-10', '10-11', '11-11', '11-12', '12-12', '13-12', '14-12', '14-13', '14-14', '14-15', '15-15', '16-15', '16-16', '16-17', '16-18', '17-18', '18-18', '19-18', '20-18', '20-19', '21-19']",6,3,1,0,"['0-0', '1-0', '1-1', '2-1', '2-2', '3-2', '4-2', '4-3', '5-3', '5-4', '6-4', '7-4', '7-5', '8-5', '9-5', '10-5', '10-6', '10-7', '10-8', '11-8', '12-8', '13-8', '14-8', '15-8', '16-8', '16-9', '17-9', '18-9', '18-10', '19-10', '19-11', '19-12', '19-13', '20-13', '21-13']",NA,NA,NA,NA,"[]","kanta tsuneyama","kenta nishimoto",17
"YONEX All England Open Badminton Championships 2019","Birmingham","England",2019-03-07,"HSBC BWF World Tour Super 1000","MS","Round of 16",1,2,"False","21-19","21-11","","Kento Momota","Kantaphon Wangcharoen","JPN","THA",42,30,7,4,5,0,5,4,1,0,"['0-0', '0-1', '0-2', '0-3', '0-4', '1-4', '1-5', '1-6', '1-7', '1-8', '2-8', '3-8', '4-8', '4-9', '5-9', '5-10', '5-11', '6-11', '7-11', '8-11', '9-11', '9-12', '10-12', '11-12', '11-13', '11-14', '12-14', '13-14', '14-14', '15-14', '16-14', '16-15', '17-15', '17-16', '18-16', '19-16', '19-17', '19-18', '19-19', '20-19', '21-19']",5,3,4,0,"['0-0', '1-0', '2-0', '3-0', '4-0', '5-0', '5-1', '6-1', '7-1', '8-1', '8-2', '8-3', '9-3', '10-3', '11-3', '12-3', '13-3', '13-4', '13-5', '14-5', '15-5', '16-5', '16-6', '17-6', '18-6', '19-6', '19-7', '19-8', '20-8', '20-9', '20-10', '20-11', '21-11']",NA,NA,NA,NA,"[]","kento momota","kantaphon wangcharoen",1
"YONEX All England Open Badminton Championships 2019","Birmingham","England",2019-03-07,"HSBC BWF World Tour Super 1000","MS","Round of 16",1,2,"False","21-17","22-20","","Jan O Jorgensen","Rasmus Gemke","DEN","DEN",43,37,6,5,4,0,6,4,2,0,"['0-0', '1-0', '1-1', '2-1', '2-2', '2-3', '3-3', '3-4', '4-4', '4-5', '5-5', '5-6', '6-6', '7-6', '7-7', '8-7', '8-8', '9-8', '10-8', '10-9', '11-9', '11-10', '12-10', '12-11', '13-11', '13-12', '13-13', '13-14', '13-15', '14-15', '15-15', '16-15', '17-15', '18-15', '19-15', '19-16', '20-16', '20-17', '21-17']",5,5,2,0,"['0-0', '0-1', '1-1', '2-1', '2-2', '3-2', '3-3', '4-3', '5-3', '6-3', '7-3', '8-3', '8-4', '8-5', '9-5', '9-6', '10-6', '10-7', '11-7', '11-8', '11-9', '12-9', '13-9', '14-9', '14-10', '14-11', '14-12', '14-13', '14-14', '15-14', '15-15', '15-16', '16-16', '16-17', '16-18', '17-18', '18-18', '18-19', '19-19', '20-19', '20-20', '21-20', '22-20']",NA,NA,NA,NA,"[]","jan o jorgensen","rasmus gemke",30
"YONEX All England Open Badminton Championships 2019","Birmingham","England",2019-03-08,"HSBC BWF World Tour Super 1000","MS","Quarter final",2,3,"False","21-16","14-21","15-21","Tommy Sugiarto","Ka Long Angus Ng","INA","HKG",50,58,6,3,2,2,6,3,2,0,"['0-0', '0-1', '0-2', '1-2', '2-2', '2-3', '3-3', '4-3', '4-4', '4-5', '4-6', '5-6', '6-6', '7-6', '8-6', '9-6', '10-6', '10-7', '11-7', '12-7', '12-8', '12-9', '13-9', '14-9', '14-10', '15-10', '16-10', '17-10', '17-11', '18-11', '18-12', '18-13', '19-13', '19-14', '19-15', '20-15', '20-16', '21-16']",2,3,0,1,"['0-0', '1-0', '1-1', '1-2', '2-2', '2-3', '3-3', '4-3', '4-4', '5-4', '5-5', '5-6', '5-7', '6-7', '6-8', '7-8', '7-9', '8-9', '9-9', '9-10', '10-10', '10-11', '10-12', '10-13', '11-13', '11-14', '11-15', '11-16', '12-16', '12-17', '12-18', '12-19', '13-19', '14-19', '14-20', '14-21']",4,3,0,1,"['0-0', '0-1', '1-1', '1-2', '1-3', '2-3', '2-4', '3-4', '3-5', '3-6', '4-6', '4-7', '4-8', '4-9', '5-9', '6-9', '6-10', '7-10', '8-10', '9-10', '10-10', '10-11', '10-12', '10-13', '11-13', '11-14', '11-15', '11-16', '12-16', '13-16', '14-16', '14-17', '14-18', '15-18', '15-19', '15-20', '15-21']","tommy sugiarto","ka long angus ng",11
"YONEX All England Open Badminton Championships 2019","Birmingham","England",2019-03-08,"HSBC BWF World Tour Super 1000","MS","Quarter final",1,2,"False","21-12","21-16","","Kento Momota","Srikanth Kidambi","JPN","IND",42,28,9,4,8,0,9,3,3,0,"['0-0', '0-1', '1-1', '1-2', '1-3', '2-3', '2-4', '3-4', '4-4', '5-4', '5-5', '5-6', '6-6', '7-6', '8-6', '9-6', '9-7', '9-8', '9-9', '10-9', '11-9', '12-9', '13-9', '14-9', '15-9', '16-9', '17-9', '18-9', '18-10', '19-10', '20-10', '20-11', '20-12', '21-12']",5,4,5,0,"['0-0', '0-1', '1-1', '1-2', '2-2', '3-2', '3-3', '4-3', '5-3', '6-3', '7-3', '8-3', '8-4', '9-4', '10-4', '11-4', '12-4', '12-5', '13-5', '13-6', '14-6', '14-7', '14-8', '15-8', '15-9', '16-9', '17-9', '17-10', '17-11', '17-12', '18-12', '19-12', '20-12', '20-13', '20-14', '20-15', '20-16', '21-16']",NA,NA,NA,NA,"[]","kento momota","srikanth kidambi",1
"YONEX All England Open Badminton Championships 2019","Birmingham","England",2019-03-08,"HSBC BWF World Tour Super 1000","MS","Quarter final",2,2,"False","14-21","7-21","","Kanta Tsuneyama","Yuqi Shi","JPN","CHN",21,42,5,11,0,2,5,4,0,1,"['0-0', '0-1', '1-1', '1-2', '1-3', '1-4', '2-4', '3-4', '4-4', '5-4', '6-4', '6-5', '7-5', '7-6', '7-7', '8-7', '9-7', '9-8', '9-9', '9-10', '9-11', '10-11', '10-12', '11-12', '11-13', '11-14', '11-15', '12-15', '12-16', '12-17', '12-18', '12-19', '13-19', '14-19', '14-20', '14-21']",4,11,0,1,"['0-0', '0-1', '1-1', '2-1', '3-1', '4-1', '4-2', '4-3', '4-4', '4-5', '4-6', '4-7', '4-8', '5-8', '5-9', '6-9', '6-10', '7-10', '7-11', '7-12', '7-13', '7-14', '7-15', '7-16', '7-17', '7-18', '7-19', '7-20', '7-21']",NA,NA,NA,NA,"[]","kanta tsuneyama","yuqi shi",17
"YONEX All England Open Badminton Championships 2019","Birmingham","England",2019-03-08,"HSBC BWF World Tour Super 1000","MS","Quarter final",1,2,"False","23-21","21-18","","Viktor Axelsen","Jan O Jorgensen","DEN","DEN",44,39,5,4,5,1,3,4,4,1,"['0-0', '1-0', '1-1', '1-2', '2-2', '3-2', '4-2', '4-3', '5-3', '5-4', '6-4', '6-5', '7-5', '7-6', '7-7', '7-8', '8-8', '9-8', '10-8', '10-9', '10-10', '10-11', '10-12', '11-12', '11-13', '12-13', '13-13', '13-14', '14-14', '14-15', '15-15', '16-15', '16-16', '17-16', '18-16', '19-16', '19-17', '20-17', '20-18', '20-19', '20-20', '20-21', '21-21', '22-21', '23-21']",5,3,1,0,"['0-0', '0-1', '1-1', '2-1', '2-2', '2-3', '3-3', '3-4', '4-4', '4-5', '4-6', '5-6', '6-6', '7-6', '8-6', '9-6', '9-7', '10-7', '10-8', '11-8', '12-8', '12-9', '12-10', '12-11', '13-11', '13-12', '14-12', '14-13', '15-13', '15-14', '16-14', '16-15', '17-15', '17-16', '18-16', '18-17', '19-17', '19-18', '20-18', '21-18']",NA,NA,NA,NA,"[]","viktor axelsen","jan o jorgensen",6
"YONEX All England Open Badminton Championships 2019","Birmingham","England",2019-03-09,"HSBC BWF World Tour Super 1000","MS","Semi final",1,2,"False","21-19","21-11","","Kento Momota","Ka Long Angus Ng","JPN","HKG",42,30,5,5,3,0,3,5,1,0,"['0-0', '1-0', '1-1', '2-1', '2-2', '2-3', '2-4', '2-5', '2-6', '3-6', '4-6', '4-7', '5-7', '5-8', '6-8', '6-9', '7-9', '7-10', '7-11', '8-11', '8-12', '9-12', '10-12', '11-12', '11-13', '12-13', '13-13', '13-14', '14-14', '15-14', '15-15', '16-15', '17-15', '18-15', '18-16', '18-17', '18-18', '19-18', '19-19', '20-19', '21-19']",5,2,2,0,"['0-0', '0-1', '1-1', '2-1', '2-2', '3-2', '4-2', '5-2', '6-2', '7-2', '7-3', '8-3', '9-3', '9-4', '9-5', '10-5', '11-5', '12-5', '12-6', '13-6', '14-6', '14-7', '15-7', '16-7', '17-7', '17-8', '18-8', '19-8', '19-9', '19-10', '20-10', '20-11', '21-11']",NA,NA,NA,NA,"[]","kento momota","ka long angus ng",1
"YONEX All England Open Badminton Championships 2019","Birmingham","England",2019-03-09,"HSBC BWF World Tour Super 1000","MS","Semi final",1,3,"False","22-20","13-21","21-9","Viktor Axelsen","Yuqi Shi","DEN","CHN",56,50,5,7,4,1,5,4,2,0,"['0-0', '0-1', '1-1', '1-2', '2-2', '2-3', '3-3', '4-3', '4-4', '4-5', '5-5', '6-5', '6-6', '6-7', '6-8', '7-8', '8-8', '8-9', '9-9', '10-9', '10-10', '11-10', '12-10', '12-11', '13-11', '13-12', '13-13', '14-13', '15-13', '16-13', '17-13', '18-13', '18-14', '18-15', '18-16', '18-17', '19-17', '19-18', '19-19', '20-19', '20-20', '21-20', '22-20']",5,6,0,1,"['0-0', '0-1', '1-1', '1-2', '2-2', '2-3', '3-3', '3-4', '3-5', '3-6', '4-6', '5-6', '5-7', '5-8', '6-8', '6-9', '6-10', '6-11', '7-11', '8-11', '9-11', '10-11', '11-11', '11-12', '11-13', '11-14', '12-14', '12-15', '13-15', '13-16', '13-17', '13-18', '13-19', '13-20', '13-21']",5,2,2,0,"['0-0', '0-1', '1-1', '1-2', '2-2', '3-2', '4-2', '5-2', '6-2', '6-3', '7-3', '8-3', '9-3', '10-3', '11-3', '11-4', '12-4', '12-5', '13-5', '13-6', '14-6', '15-6', '16-6', '16-7', '16-8', '17-8', '18-8', '19-8', '20-8', '20-9', '21-9']","viktor axelsen","yuqi shi",6
"YONEX All England Open Badminton Championships 2019","Birmingham","England",2019-03-10,"HSBC BWF World Tour Super 1000","MS","Final",1,3,"False","21-11","15-21","21-15","Kento Momota","Viktor Axelsen","JPN","DEN",57,47,9,5,3,3,8,4,1,0,"['0-0', '0-1', '1-1', '2-1', '2-2', '3-2', '4-2', '5-2', '6-2', '6-3', '7-3', '7-4', '8-4', '9-4', '9-5', '9-6', '9-7', '9-8', '10-8', '10-9', '11-9', '12-9', '12-10', '13-10', '13-11', '14-11', '15-11', '16-11', '17-11', '18-11', '19-11', '20-11', '21-11']",3,5,0,3,"['0-0', '1-0', '1-1', '2-1', '3-1', '3-2', '3-3', '3-4', '3-5', '4-5', '5-5', '6-5', '6-6', '7-6', '7-7', '7-8', '8-8', '9-8', '9-9', '9-10', '10-10', '11-10', '11-11', '11-12', '11-13', '11-14', '11-15', '12-15', '13-15', '13-16', '13-17', '13-18', '13-19', '13-20', '14-20', '15-20', '15-21']",7,4,2,0,"['0-0', '0-1', '0-2', '0-3', '0-4', '1-4', '2-4', '3-4', '3-5', '4-5', '4-6', '5-6', '5-7', '6-7', '7-7', '7-8', '8-8', '9-8', '9-9', '10-9', '11-9', '12-9', '12-10', '12-11', '13-11', '14-11', '15-11', '16-11', '17-11', '18-11', '19-11', '19-12', '19-13', '19-14', '20-14', '20-15', '21-15']","kento momota","viktor axelsen",1
"Lingshui China Masters 2019","Lingshui","China",2019-03-12,"BWF Tour Super 100","MS","Qualification round of 32",2,3,"False","21-18","18-21","18-21","Masashi Nishino","Liang Liu","JPN","CHN",57,60,5,5,2,2,5,4,2,0,"['0-0', '1-0', '2-0', '2-1', '2-2', '2-3', '3-3', '3-4', '4-4', '4-5', '5-5', '6-5', '6-6', '7-6', '7-7', '8-7', '9-7', '10-7', '10-8', '11-8', '12-8', '12-9', '12-10', '12-11', '13-11', '13-12', '14-12', '14-13', '15-13', '16-13', '17-13', '18-13', '19-13', '19-14', '19-15', '19-16', '19-17', '20-17', '20-18', '21-18']",5,3,0,1,"['0-0', '0-1', '1-1', '1-2', '2-2', '2-3', '2-4', '3-4', '4-4', '4-5', '5-5', '5-6', '6-6', '6-7', '7-7', '7-8', '7-9', '8-9', '9-9', '9-10', '9-11', '10-11', '11-11', '12-11', '13-11', '14-11', '14-12', '14-13', '14-14', '15-14', '15-15', '15-16', '16-16', '16-17', '16-18', '17-18', '18-18', '18-19', '18-20', '18-21']",4,5,0,1,"['0-0', '1-0', '2-0', '2-1', '3-1', '3-2', '3-3', '3-4', '4-4', '5-4', '6-4', '7-4', '7-5', '8-5', '9-5', '9-6', '10-6', '10-7', '11-7', '12-7', '12-8', '12-9', '12-10', '12-11', '13-11', '13-12', '14-12', '14-13', '15-13', '16-13', '16-14', '16-15', '16-16', '17-16', '18-16', '18-17', '18-18', '18-19', '18-20', '18-21']","masashi nishino","liang liu",NA
"Lingshui China Masters 2019","Lingshui","China",2019-03-12,"BWF Tour Super 100","MS","Qualification round of 32",2,3,"False","14-21","21-17","10-21","Aaron Zhao","Ping-Hsien Huang","CAN","TPE",45,59,4,5,1,5,3,4,0,3,"['0-0', '1-0', '2-0', '3-0', '3-1', '3-2', '3-3', '4-3', '4-4', '5-4', '6-4', '6-5', '6-6', '6-7', '7-7', '7-8', '7-9', '7-10', '8-10', '8-11', '8-12', '8-13', '8-14', '9-14', '9-15', '10-15', '10-16', '10-17', '11-17', '12-17', '12-18', '12-19', '12-20', '13-20', '14-20', '14-21']",4,4,1,0,"['0-0', '1-0', '1-1', '2-1', '2-2', '2-3', '3-3', '4-3', '5-3', '5-4', '5-5', '6-5', '6-6', '6-7', '7-7', '8-7', '8-8', '9-8', '9-9', '10-9', '11-9', '12-9', '12-10', '12-11', '13-11', '14-11', '15-11', '15-12', '15-13', '15-14', '15-15', '16-15', '17-15', '18-15', '19-15', '19-16', '19-17', '20-17', '21-17']",2,5,0,2,"['0-0', '1-0', '1-1', '1-2', '1-3', '2-3', '3-3', '3-4', '3-5', '3-6', '3-7', '4-7', '4-8', '5-8', '5-9', '5-10', '5-11', '6-11', '7-11', '7-12', '7-13', '7-14', '7-15', '7-16', '8-16', '9-16', '9-17', '9-18', '9-19', '9-20', '10-20', '10-21']","aaron zhao","ping-hsien huang",1259
"Lingshui China Masters 2019","Lingshui","China",2019-03-12,"BWF Tour Super 100","MS","Qualification round of 32",2,2,"False","17-21","16-21","","Junfeng Gu","Weiyi Zhang","CHN","CHN",33,42,4,4,0,2,3,4,0,1,"['0-0', '1-0', '2-0', '3-0', '3-1', '4-1', '4-2', '4-3', '5-3', '6-3', '6-4', '7-4', '7-5', '7-6', '8-6', '8-7', '8-8', '9-8', '9-9', '9-10', '10-10', '10-11', '11-11', '12-11', '13-11', '13-12', '14-12', '14-13', '14-14', '15-14', '15-15', '15-16', '15-17', '15-18', '16-18', '16-19', '17-19', '17-20', '17-21']",4,4,0,1,"['0-0', '0-1', '1-1', '1-2', '2-2', '3-2', '4-2', '5-2', '5-3', '5-4', '5-5', '5-6', '6-6', '6-7', '6-8', '6-9', '6-10', '7-10', '7-11', '8-11', '8-12', '8-13', '8-14', '9-14', '10-14', '11-14', '11-15', '12-15', '12-16', '13-16', '14-16', '15-16', '15-17', '16-17', '16-18', '16-19', '16-20', '16-21']",NA,NA,NA,NA,"[]","junfeng gu","weiyi zhang",NA
"Lingshui China Masters 2019","Lingshui","China",2019-03-12,"BWF Tour Super 100","MS","Qualification round of 32",1,2,"False","21-19","21-14","","Geonyeop Cho","Dewei Liu","KOR","CHN",42,33,6,5,4,0,6,5,3,0,"['0-0', '0-1', '1-1', '2-1', '2-2', '3-2', '4-2', '5-2', '5-3', '5-4', '5-5', '6-5', '7-5', '8-5', '8-6', '8-7', '8-8', '9-8', '9-9', '10-9', '10-10', '11-10', '12-10', '12-11', '13-11', '13-12', '13-13', '13-14', '13-15', '13-16', '14-16', '15-16', '16-16', '17-16', '18-16', '19-16', '19-17', '20-17', '20-18', '20-19', '21-19']",5,3,1,0,"['0-0', '0-1', '1-1', '1-2', '2-2', '2-3', '2-4', '2-5', '3-5', '3-6', '3-7', '3-8', '4-8', '5-8', '6-8', '7-8', '8-8', '8-9', '9-9', '10-9', '11-9', '12-9', '13-9', '13-10', '14-10', '14-11', '15-11', '16-11', '16-12', '16-13', '17-13', '18-13', '19-13', '19-14', '20-14', '21-14']",NA,NA,NA,NA,"[]","geonyeop cho","dewei liu",NA
"Lingshui China Masters 2019","Lingshui","China",2019-03-12,"BWF Tour Super 100","MS","Qualification round of 32",1,2,"False","21-14","21-13","","Lanxi Lei","Bingyuan Li","CHN","CHN",42,27,7,4,3,0,4,3,2,0,"['0-0', '1-0', '1-1', '2-1', '2-2', '3-2', '4-2', '5-2', '6-2', '6-3', '7-3', '8-3', '9-3', '10-3', '10-4', '11-4', '11-5', '11-6', '11-7', '12-7', '12-8', '12-9', '13-9', '13-10', '14-10', '15-10', '16-10', '17-10', '17-11', '18-11', '18-12', '18-13', '19-13', '20-13', '20-14', '21-14']",7,4,1,0,"['0-0', '0-1', '0-2', '1-2', '1-3', '1-4', '2-4', '3-4', '3-5', '4-5', '5-5', '5-6', '6-6', '7-6', '8-6', '9-6', '9-7', '9-8', '10-8', '11-8', '11-9', '12-9', '13-9', '14-9', '15-9', '16-9', '17-9', '18-9', '18-10', '18-11', '18-12', '18-13', '19-13', '20-13', '21-13']",NA,NA,NA,NA,"[]","lanxi lei","bingyuan li",NA
"Lingshui China Masters 2019","Lingshui","China",2019-03-12,"BWF Tour Super 100","MS","Qualification round of 32",2,2,"False","20-22","12-21","","Yunze Li","Kaian Wu","CHN","CHN",32,43,5,8,3,2,5,5,3,1,"['0-0', '1-0', '1-1', '2-1', '3-1', '3-2', '4-2', '4-3', '4-4', '5-4', '5-5', '5-6', '5-7', '6-7', '6-8', '7-8', '8-8', '9-8', '10-8', '11-8', '11-9', '11-10', '11-11', '11-12', '12-12', '13-12', '14-12', '14-13', '14-14', '14-15', '15-15', '16-15', '17-15', '17-16', '17-17', '18-17', '19-17', '20-17', '20-18', '20-19', '20-20', '20-21', '20-22']",2,4,0,1,"['0-0', '0-1', '0-2', '0-3', '1-3', '2-3', '2-4', '3-4', '4-4', '4-5', '5-5', '5-6', '5-7', '6-7', '6-8', '7-8', '7-9', '7-10', '7-11', '7-12', '8-12', '8-13', '8-14', '8-15', '9-15', '10-15', '10-16', '10-17', '11-17', '11-18', '12-18', '12-19', '12-20', '12-21']",NA,NA,NA,NA,"[]","yunze li","kaian wu",NA
"Lingshui China Masters 2019","Lingshui","China",2019-03-12,"BWF Tour Super 100","MS","Qualification round of 32",1,2,"False","21-16","21-19","","Sheng Po Yu","Zhengxing Wang","TPE","CHN",42,35,6,4,4,0,5,4,2,0,"['0-0', '0-1', '1-1', '2-1', '3-1', '4-1', '5-1', '5-2', '6-2', '6-3', '6-4', '6-5', '6-6', '7-6', '8-6', '9-6', '10-6', '10-7', '11-7', '11-8', '11-9', '12-9', '13-9', '14-9', '15-9', '15-10', '15-11', '15-12', '16-12', '17-12', '18-12', '18-13', '19-13', '19-14', '19-15', '20-15', '20-16', '21-16']",6,4,2,0,"['0-0', '0-1', '1-1', '1-2', '2-2', '3-2', '3-3', '4-3', '4-4', '4-5', '4-6', '5-6', '5-7', '5-8', '6-8', '7-8', '8-8', '9-8', '10-8', '11-8', '11-9', '11-10', '12-10', '13-10', '13-11', '13-12', '13-13', '13-14', '14-14', '15-14', '15-15', '15-16', '15-17', '16-17', '17-17', '18-17', '19-17', '19-18', '20-18', '20-19', '21-19']",NA,NA,NA,NA,"[]","sheng po yu","zhengxing wang",1846
"Lingshui China Masters 2019","Lingshui","China",2019-03-12,"BWF Tour Super 100","MS","Qualification round of 32",2,2,"False","9-21","6-21","","Korakrit Laotrakul","Xujun Chen","THA","CHN",15,42,2,8,0,2,1,4,0,1,"['0-0', '1-0', '1-1', '1-2', '2-2', '2-3', '3-3', '3-4', '3-5', '3-6', '3-7', '4-7', '4-8', '5-8', '5-9', '5-10', '5-11', '5-12', '6-12', '6-13', '7-13', '7-14', '7-15', '7-16', '8-16', '8-17', '8-18', '8-19', '9-19', '9-20', '9-21']",2,8,0,1,"['0-0', '0-1', '0-2', '1-2', '1-3', '1-4', '1-5', '2-5', '2-6', '2-7', '2-8', '3-8', '4-8', '4-9', '4-10', '4-11', '5-11', '5-12', '5-13', '5-14', '5-15', '5-16', '5-17', '5-18', '5-19', '6-19', '6-20', '6-21']",NA,NA,NA,NA,"[]","korakrit laotrakul","xujun chen",1037
"Lingshui China Masters 2019","Lingshui","China",2019-03-12,"BWF Tour Super 100","MS","Qualification round of 16",2,2,"False","20-22","18-21","","Haokun Ye","Weiyi Zhang","CHN","CHN",38,43,7,4,0,3,4,4,0,2,"['0-0', '0-1', '1-1', '1-2', '1-3', '2-3', '2-4', '3-4', '3-5', '3-6', '4-6', '4-7', '4-8', '5-8', '5-9', '5-10', '5-11', '5-12', '6-12', '6-13', '7-13', '8-13', '9-13', '10-13', '10-14', '11-14', '12-14', '13-14', '13-15', '14-15', '14-16', '14-17', '15-17', '15-18', '16-18', '17-18', '18-18', '18-19', '19-19', '19-20', '20-20', '20-21', '20-22']",7,3,0,1,"['0-0', '0-1', '0-2', '1-2', '1-3', '1-4', '2-4', '2-5', '3-5', '4-5', '5-5', '6-5', '7-5', '8-5', '9-5', '9-6', '9-7', '10-7', '10-8', '10-9', '10-10', '11-10', '11-11', '12-11', '12-12', '12-13', '13-13', '13-14', '13-15', '13-16', '14-16', '15-16', '15-17', '15-18', '16-18', '17-18', '17-19', '18-19', '18-20', '18-21']",NA,NA,NA,NA,"[]","haokun ye","weiyi zhang",NA
"Lingshui China Masters 2019","Lingshui","China",2019-03-12,"BWF Tour Super 100","MS","Qualification round of 16",1,2,"False","21-18","21-10","","Zhengze Gao","Geonyeop Cho","CHN","KOR",42,28,6,5,3,0,4,5,1,0,"['0-0', '0-1', '1-1', '2-1', '2-2', '2-3', '3-3', '3-4', '4-4', '5-4', '5-5', '6-5', '7-5', '8-5', '9-5', '9-6', '10-6', '11-6', '11-7', '11-8', '12-8', '13-8', '13-9', '13-10', '13-11', '13-12', '13-13', '14-13', '15-13', '15-14', '15-15', '16-15', '17-15', '17-16', '18-16', '18-17', '19-17', '19-18', '20-18', '21-18']",6,1,2,0,"['0-0', '0-1', '1-1', '2-1', '2-2', '3-2', '3-3', '4-3', '5-3', '6-3', '6-4', '7-4', '7-5', '8-5', '8-6', '9-6', '9-7', '10-7', '11-7', '12-7', '13-7', '13-8', '14-8', '14-9', '15-9', '16-9', '17-9', '18-9', '19-9', '20-9', '20-10', '21-10']",NA,NA,NA,NA,"[]","zhengze gao","geonyeop cho",NA
"Lingshui China Masters 2019","Lingshui","China",2019-03-12,"BWF Tour Super 100","MS","Qualification round of 16",1,2,"False","21-13","21-13","","Lanxi Lei","Binghong Ye","CHN","USA",42,26,6,5,3,0,4,5,1,0,"['0-0', '1-0', '1-1', '1-2', '1-3', '1-4', '1-5', '2-5', '3-5', '4-5', '5-5', '5-6', '6-6', '6-7', '7-7', '8-7', '9-7', '10-7', '10-8', '11-8', '12-8', '12-9', '13-9', '14-9', '14-10', '15-10', '16-10', '17-10', '17-11', '17-12', '17-13', '18-13', '19-13', '20-13', '21-13']",6,2,2,0,"['0-0', '0-1', '1-1', '2-1', '3-1', '4-1', '4-2', '5-2', '5-3', '6-3', '6-4', '6-5', '7-5', '8-5', '8-6', '9-6', '10-6', '10-7', '11-7', '12-7', '13-7', '14-7', '15-7', '16-7', '16-8', '16-9', '17-9', '17-10', '18-10', '18-11', '18-12', '19-12', '20-12', '20-13', '21-13']",NA,NA,NA,NA,"[]","lanxi lei","binghong ye",NA
"Lingshui China Masters 2019","Lingshui","China",2019-03-12,"BWF Tour Super 100","MS","Qualification round of 16",2,2,"False","6-21","12-21","","Jhonatan Wu Zheng","Ping-Hsien Huang","VEN","TPE",18,42,3,8,0,3,2,8,0,1,"['0-0', '0-1', '0-2', '0-3', '0-4', '1-4', '1-5', '1-6', '2-6', '2-7', '2-8', '2-9', '2-10', '2-11', '2-12', '2-13', '2-14', '3-14', '4-14', '4-15', '4-16', '4-17', '5-17', '5-18', '5-19', '6-19', '6-20', '6-21']",3,7,0,2,"['0-0', '1-0', '2-0', '2-1', '2-2', '2-3', '2-4', '2-5', '2-6', '2-7', '3-7', '3-8', '4-8', '5-8', '6-8', '6-9', '6-10', '6-11', '7-11', '7-12', '7-13', '8-13', '8-14', '8-15', '9-15', '9-16', '10-16', '10-17', '10-18', '10-19', '11-19', '11-20', '12-20', '12-21']",NA,NA,NA,NA,"[]","jhonatan wu zheng","ping-hsien huang",NA
